epoch,global_step,cos_grad_data_no_slip,cos_grad_data_momentum,cos_grad_data_continuity,cos_grad_data_inlet_bc,cos_grad_data_rcr_bc,grad_norm_data,grad_norm_physics,gradient_norm,gradient_clip_flag,no_slip_raw,inlet_bc_raw,data_total,pde_total,loss_ratio_raw,lambda_phy,lambda_target,lambda_clamped_high,ema_data,ema_physics
22,3150,0.09482939541339874,0.0,0.0,-0.007269848603755236,0.0664631724357605,0.6267951726913452,0.0,0.6519078016281128,False,0.015396645292639732,0.006616426166146994,0.06166769936680794,0.0,61667699366.80794,0.0,0.0,False,0.8664565403817295,0.0
23,3200,0.3215409815311432,0.0,0.0,-0.3081708252429962,-0.03500428423285484,0.9831072688102722,0.0,0.9501184225082397,False,0.005285146180540323,0.03401053696870804,0.22311756014823914,0.0,223117560148.23914,0.0,0.0,False,0.8446183560464019,0.0
23,3250,0.6463861465454102,0.0,0.0,-0.4180605113506317,-0.39611828327178955,0.43986329436302185,0.0,0.547656238079071,False,0.12101776897907257,0.06706260144710541,0.2022048681974411,0.0,202204868197.4411,0.0,0.0,False,0.8438239918511511,0.0
23,3300,-0.7417284250259399,0.0,0.0,0.5519800186157227,0.12361475080251694,0.5110384821891785,0.0,0.5891897678375244,False,0.012104256078600883,0.020847618579864502,0.13258226215839386,0.0,132582262158.39386,0.0,0.0,False,1.002982872985752,0.0
24,3350,-0.6266555786132812,0.0,0.0,0.46158331632614136,0.2660278081893921,0.9927107691764832,0.0,1.05865478515625,True,0.012399652041494846,0.029850954189896584,0.8701494932174683,0.0,870149493217.4683,0.0,0.0,False,0.9003141614291655,0.0
24,3400,0.5683143734931946,0.0,0.0,-0.5429664850234985,-0.012767898850142956,0.11713384836912155,0.0,0.3143196403980255,False,0.01595672033727169,0.040963754057884216,0.028956152498722076,0.0,28956152498.722076,0.0,0.0,False,0.9685628640922394,0.0
24,3450,-0.33011654019355774,0.0,0.0,0.18863634765148163,0.40944552421569824,0.07084696739912033,0.0,0.2858281135559082,False,0.014351599849760532,0.001359033863991499,0.05906755104660988,0.0,59067551046.60988,0.0,0.0,False,1.1385421538963858,0.0
25,3500,0.2930707335472107,0.0,0.0,0.2554328441619873,0.2846071422100067,1.509965181350708,0.0,1.6086019277572632,True,0.02417747862637043,0.00254912581294775,0.09203580766916275,0.0,92035807669.16275,0.0,0.0,False,1.0592496214731641,0.0
25,3550,0.23544973134994507,0.0,0.0,0.4251254200935364,0.6054619550704956,0.16681602597236633,0.0,0.42184674739837646,False,0.01914253830909729,0.016707349568605423,0.026422206312417984,0.0,26422206312.417984,0.0,0.0,False,0.9285724327910007,0.0
26,3600,-0.25649741291999817,0.0,0.0,0.020223362371325493,0.2946718633174896,0.5845502614974976,0.0,0.8754276633262634,False,0.02986053191125393,0.06345507502555847,0.2757556736469269,0.0,275755673646.9269,0.0,0.0,False,0.8407154433606577,0.0
26,3650,-0.2005540430545807,0.0,0.0,0.2087858021259308,-0.11926456540822983,1.5208439826965332,0.0,1.496079444885254,True,0.10183122009038925,0.03715451806783676,2.0793163776397705,0.0,2079316377639.7705,0.0,0.0,False,0.9514297606806881,0.0
26,3700,0.7574957609176636,0.0,0.0,-0.7504551410675049,-0.2715316414833069,0.18863193690776825,0.0,0.14379405975341797,False,0.009487520903348923,0.02331177517771721,0.09087330102920532,0.0,90873301029.20532,0.0,0.0,False,0.9014611017675136,0.0
27,3750,-0.6865292191505432,0.0,0.0,0.3994804322719574,0.39723822474479675,1.8692330121994019,0.0,1.8978800773620605,True,0.01247220765799284,0.016262216493487358,4.027548789978027,0.0,4027548789978.0273,0.0,0.0,False,0.9154612658621801,0.0
27,3800,0.11820680648088455,0.0,0.0,0.031166277825832367,0.17162373661994934,0.7508811354637146,0.0,0.8111715316772461,False,0.023033244535326958,0.0030849785543978214,0.1666700392961502,0.0,166670039296.1502,0.0,0.0,False,0.7817962351455208,0.0
